Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
2.5932372290678742e-24,0.054700809901540644,6.707345336897125e-22,1.55309386378698e-37,4.864717259047517e-21,9.864600577180049e-181,3.359325506864756e-21,0.938,1.1243632429544307e-100,2.038871085341133e-19,2.1871348423423868e-54,2.6885909731676715e-21,2.7947272237071076e-20,0.0,0.0,0.034625753121850796,0.01,0.05,2.9704976754270956e-113,6.842506366544405e-126,0.002,1.8880210004947904e-197
5.188727487874296e-24,0.054700809901540644,1.3420518080689903e-21,6.216422934567757e-37,9.733661031786622e-21,5.064107773617502e-178,6.72156962842574e-21,0.938,3.602404393009614e-99,4.079513561720864e-19,1.7510377454910408e-53,5.379517820327241e-21,5.591882533620686e-20,0.0,0.0,0.034625753121850796,0.01,0.05,4.755008529963635e-112,4.384697756178542e-124,0.002,1.9384802308984748e-194
1.0379708005487139e-23,0.054700809901540644,2.6846863568275468e-21,2.4873789004117943e-36,1.947154857726476e-20,2.5962677013779534e-175,1.3446057871569852e-20,0.938,1.1534806511778043e-97,8.160798514480547e-19,1.4013623725105635e-52,1.0761371514624238e-20,1.1186193153447685e-19,0.0,0.0,0.034625753121850796,0.01,0.05,7.609783447342245e-111,2.807965878639139e-122,0.002,1.987643378334453e-191
2.0761669040712825e-23,0.054700809901540644,5.3699554543446625e-21,9.951135285517292e-36,3.8947323668220734e-20,1.330171611159664e-172,2.6895034357946664e-20,0.938,3.6922764949188475e-96,1.6323368420000799e-18,1.1213028139493673e-51,2.1525078903129656e-20,2.237481439310107e-19,0.0,0.0,0.034625753121850796,0.01,0.05,1.2177069355265566e-109,1.797661356960128e-120,0.002,2.0366994584936813e-188
4.1525591111164197e-23,0.054700809901540644,1.0740493649378907e-20,3.9807780740510164e-35,7.789887385013152e-20,6.812738933423506e-170,5.379298733105463e-20,0.938,1.18171065764282e-94,3.264850823104484e-18,8.971274266345909e-51,4.3052493679786194e-20,4.475205687240533e-19,0.0,0.0,0.034625753121850796,0.01,0.05,1.9484443640039077e-108,1.1506835249719906e-118,0.0019999999999999996,2.0862730919414245e-185
8.305343525206694e-23,0.054700809901540644,2.148157003944744e-20,1.5923760238962368e-34,1.5580197421394833e-19,3.488701089764277e-167,1.0758889327868792e-19,0.938,3.7817656180777995e-93,6.529878785314708e-18,7.177360133174553e-50,8.610732323168201e-20,8.950654183100388e-19,0.0,0.0,0.03462575312185079,0.009999999999999998,0.05,3.117601596135391e-107,7.364951435459813e-117,0.001999999999999999,2.1366984591272682e-182
1.6610912353387243e-22,0.054700809901540644,4.296372281958469e-20,6.36963368644364e-34,3.1160817494156304e-19,1.786363135213265e-164,2.1518070517962398e-19,0.938,1.2102116421079148e-91,1.305993470974082e-17,5.742024398218279e-49,1.7221698232980487e-19,1.7901551174816114e-18,0.0,0.0,0.03462575312185078,0.009999999999999995,0.05,4.988235044799963e-106,4.713753527665811e-115,0.0019999999999999983,2.188160905748355e-179
3.322205000974834e-22,0.054700809901540644,8.592802837985995e-20,2.5478793929799165e-33,6.232205763967167e-19,9.146558606235823e-162,4.303643290041739e-19,0.938,3.872751887379366e-90,2.61200465586157e-17,4.593674035974018e-48,3.4443630050337507e-19,3.580334515823161e-18,0.0,0.0,0.03462575312185077,0.009999999999999988,0.05,7.981234064466704e-105,3.0168613339814767e-113,0.0019999999999999966,2.2407697944473597e-176
6.644432532247054e-22,0.054700809901540644,1.718566395004134e-19,1.019156940895545e-32,1.2464453793067214e-18,4.683135123589638e-159,8.607315767439851e-19,0.938,1.2392925453216356e-88,5.224027025645608e-17,3.6749610358846156e-47,6.888749367598137e-19,7.16069331249988e-18,0.0,0.0,0.03462575312185074,0.009999999999999974,0.05,1.2770020897376408e-103,1.9308101583831626e-111,0.001999999999999993,2.294595900589548e-173
1.3288887594791493e-21,0.054700809901540644,3.4371386174153216e-19,4.076638131012538e-32,2.4928949851255186e-18,2.397790045616523e-156,1.721466072586452e-18,0.938,3.965755251325705e-87,1.0448071765249934e-16,2.939977551579074e-46,1.3777522089098834e-18,1.4321410905827792e-17,0.0,0.0,0.03462575312185068,0.009999999999999948,0.05,2.043207055118689e-102,1.2357245508875337e-109,0.0019999999999999857,2.349690589644756e-170
2.657779771988037e-21,0.054700809901540644,6.874283062238168e-19,1.6306573258934976e-31,4.985794196758266e-18,1.2276748681625528e-153,3.442935065722765e-18,0.938,1.2690447374470617e-85,2.0896161244603573e-16,2.351985530417801e-45,2.755506751758793e-18,2.864284609238152e-17,0.0,0.0,0.03462575312185055,0.009999999999999896,0.049999999999999996,3.2691342574209554e-101,7.908656484249989e-108,0.001999999999999971,2.406095650260765e-167
5.3155617970058125e-21,0.054700809901540644,1.3748571951885747e-18,6.522633450554098e-31,9.971592620004374e-18,6.28571161901254e-151,6.885873057800909e-18,0.938,4.0609480511165382e-84,4.1792340203890816e-16,1.8815898199974902e-44,5.5110158316516926e-18,5.728571646508056e-17,0.0,0.0,0.0346257531218503,0.009999999999999792,0.04999999999999999,5.230617187259315e-100,5.061546344723913e-106,0.0019999999999999415,2.463848338981846e-164
1.0631125847041364e-20,0.054700809901540644,2.7497149731188475e-18,2.6090542096185596e-30,1.994318946641904e-17,3.21828852027248e-148,1.3771749065179271e-17,0.938,1.2995041589907291e-82,8.35846981247852e-16,1.5052724142639537e-43,1.1022033968217815e-17,1.1457145720884509e-16,0.0,0.0,0.0346257531218498,0.009999999999999584,0.049999999999999975,8.368989399926984e-99,3.239391643029107e-104,0.001999999999999883,2.522983972446183e-161
