Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),H2(20),H2X(33)
3.491710708687902e-23,0.048764219312884285,2.1777829825932437e-20,0.938,0.0,0.0,0.0308678760359664,0.01,0.05,1.1656320273893838e-116,1.7435335285856906e-122,0.002,1.1413384740346218e-188,2.6863901295687478e-158,8.636248518919876e-19,4.5684295523473644e-93,2.592027074425281e-19,1.7598080187907137e-56,1.325074793427303e-20,3.552950788091148e-20,8.527081891418784e-21,5.688028260928745e-38,3.2267074463783704e-176,9.419678719047074e-130,1.2945618568998443e-53,1.6225559713466925e-55
6.98417933157348e-23,0.048764219312884285,4.3560386769497765e-20,0.938,0.0,0.0,0.0308678760359664,0.01,0.05,1.8652281156830068e-115,1.116211159375335e-120,0.002,1.1695073056602855e-185,6.880060510021959e-156,1.7274371630523312e-18,1.462348331329975e-91,5.18461677682658e-19,1.4081137913998826e-55,2.6504372088825082e-20,7.106672783212467e-20,1.7056014679710028e-20,2.275581686528868e-37,1.653171065674205e-173,1.2062256276504896e-127,1.0359117630118226e-52,1.2983735059727e-54
1.3969116577344633e-22,0.048764219312884285,8.712550065735051e-20,0.938,0.0,0.0,0.030867876035966395,0.01,0.05,2.984538482581584e-114,7.144870675965913e-119,0.002,1.1979733251371553e-182,1.761667015698046e-153,3.45506178537134e-18,4.68023619215398e-90,1.0369796181636398e-18,1.126597995093121e-54,5.301162039720709e-20,1.4214116773455034e-19,3.4113880256292515e-20,9.10306756318737e-37,8.467044994866981e-171,1.5442932088942127e-125,8.288343342284341e-52,1.0388303123872009e-53
2.793899106888694e-22,0.048764219312884285,1.7425572843594437e-19,0.938,0.0,0.0,0.030867876035966392,0.01,0.049999999999999996,4.775400370124158e-113,4.5730754284522665e-117,0.002,1.2269284245278578e-179,4.510343174622336e-151,6.910311030002646e-18,1.4977910371737334e-88,2.074015499128491e-18,9.013211831493926e-54,1.0602611701108263e-19,2.842900475393989e-19,6.822961140945746e-20,3.641375193966118e-36,4.335846329733759e-168,1.9769029538749546e-123,6.631094394927578e-51,8.311168561581426e-53
5.587874005197155e-22,0.048764219312884285,3.485161840046856e-19,0.938,0.0,0.0,0.03086787603596638,0.009999999999999998,0.04999999999999999,7.6407516306019e-112,2.926882902204261e-115,0.0019999999999999996,1.2564790324519172e-176,1.154708735260547e-148,1.3820809519238407e-17,4.793116056350248e-87,4.148087261069746e-18,7.210740618071638e-53,2.1205511022727992e-19,5.685878071490853e-19,1.3646107371578726e-19,1.4565797118532187e-35,2.220137479164918e-165,2.5305686831781444e-121,5.305043409834228e-50,6.649145280581048e-52
1.1175823801814077e-21,0.048764219312884285,6.970370951883822e-19,0.938,0.0,0.0,0.03086787603596636,0.009999999999999997,0.049999999999999975,1.2225291439712357e-110,1.8732417390929678e-113,0.0019999999999999987,1.2866879467546766e-173,2.956132294054266e-146,2.764180649760255e-17,1.5338266965729956e-85,8.296230784998463e-18,5.768660956532413e-52,4.241130966134596e-19,1.1371833263684145e-18,2.729239983284467e-19,5.826378116481833e-35,1.136757536287646e-162,3.239212974170205e-119,4.244101886974284e-49,5.319400398116186e-51
2.2351723395047926e-21,0.048764219312884285,1.3940789177406324e-18,0.938,0.0,0.0,0.030867876035966323,0.009999999999999993,0.04999999999999995,1.9560537368224748e-109,1.1988864511090562e-111,0.0019999999999999974,1.3175958077765717e-170,7.567798424832186e-144,5.5283800453901285e-17,4.908292722466147e-84,1.6592517833040735e-17,4.6149561502554646e-51,8.482290692009586e-19,2.2743743648068987e-18,5.458498475537645e-19,2.3305631004655666e-34,5.820319284318667e-160,4.146247044786678e-117,3.3953083742675715e-48,4.2555539879552914e-50
4.470352258151562e-21,0.048764219312884285,2.78816256358456e-18,0.938,0.0,0.0,0.030867876035966246,0.009999999999999985,0.04999999999999989,3.1296916641181213e-108,7.672910846799809e-110,0.0019999999999999944,1.3492321102916777e-167,1.9373691639616875e-141,1.1056778836478056e-16,1.5706612376850732e-82,3.3185091929864616e-17,3.6919758742794343e-50,1.696461013636516e-18,4.548756441683172e-18,1.0917015460043966e-18,9.322276109710978e-34,2.980034371895259e-157,5.3072310546418255e-115,2.716257446674992e-47,3.4044566577924215e-49
8.940712095445102e-21,0.048764219312884285,5.576329858230124e-18,0.938,0.0,0.0,0.030867876035966094,0.009999999999999967,0.04999999999999978,5.007511210838287e-107,4.910674958010323e-108,0.0019999999999999888,1.3816208497454198e-164,4.959681395876704e-139,2.2113576417966638e-16,5.026128063841148e-81,6.637024012646972e-17,2.953585081103581e-49,3.392924899549869e-18,9.097520595432936e-18,2.183404942905645e-18,3.728915185499642e-33,1.5257855075028628e-154,6.793278037742366e-113,2.1730102584040634e-46,2.7235707125624904e-48
1.7881431770032177e-20,0.048764219312884285,1.1152664459352086e-17,0.938,0.0,0.0,0.030867876035965785,0.009999999999999934,0.04999999999999956,8.01202157622089e-106,3.1428358143262847e-106,0.0019999999999999775,1.4147834188545764e-161,1.269680525325418e-136,4.4227171578194696e-16,1.6083629149170162e-79,1.327405365315094e-16,2.362869817624652e-48,6.7858526595455245e-18,1.8195048902921333e-17,4.366811736708081e-18,1.4915670225556186e-32,7.812042036224773e-152,8.695410131612865e-111,1.738409930592915e-45,2.17885872353867e-47
