Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),H2(20)
5.287921506174531e-19,0.054700809901540644,4.108888082186449e-16,0.938,0.0,0.0,0.034625753121831394,0.009999999999997922,0.04999999999998588,3.125768144387118e-98,2.214785041387508e-92,0.0019999999999992936,9.883834371120008e-140,8.586675613159397e-119,1.3852179591804456e-14,1.7862413517977295e-69,4.15750253626387e-15,3.747156351870898e-42,2.7411792370854303e-16,5.698783752479069e-16,1.3677081008515746e-16,8.948312500935007e-29,8.892514549580891e-132,1.1492564532951971e-96,2.653023975338107e-40
1.0575843082390103e-18,0.054700809901540644,8.217776963038628e-16,0.938,0.0,0.0,0.03462575312181199,0.009999999999995844,0.049999999999971755,3.1257685122073194e-98,1.4174622667304205e-90,0.001999999999998587,1.0121085623136889e-136,2.198188426481417e-116,2.7704359167907083e-14,5.715971673841222e-68,8.315005202013228e-15,2.9977251184833934e-41,5.48235776622651e-16,1.1397567578284448e-15,2.7354162198146586e-16,3.5793250379298893e-28,4.552977364462896e-129,1.4710479042957751e-94,2.122419571872159e-39
1.5863764658605675e-18,0.054700809901540644,1.232666640207182e-15,0.938,0.0,0.0,0.03462575312179259,0.009999999999993766,0.04999999999995763,1.8007551254285216e-94,7.945053701814693e-90,0.0019999999999978806,6.7794818755910635e-136,1.668975818234687e-115,4.1556538594624304e-14,2.674058785965103e-67,1.2472507923575609e-14,8.571620290364149e-41,8.2235357371783e-16,1.7096351402472229e-15,4.1031243387744157e-16,7.606065731197968e-28,2.596992988211551e-128,9.735922667614574e-94,6.30093373715007e-39
2.1151686234821248e-18,0.054700809901540644,1.6435556399285921e-15,0.938,0.0,0.0,0.03462575312177319,0.009999999999991687,0.0499999999999435,4.2013451960014444e-94,2.9003534705404806e-89,0.001999999999997174,5.4797653258293574e-135,8.212358095192115e-115,5.5408717871956103e-14,8.626706604838598e-67,1.663001070095101e-14,1.8080029722142008e-40,1.0964713149940914e-15,2.279513522504241e-15,5.470832457730846e-16,1.2975053331647526e-27,2.1622122864923663e-127,4.396063705060154e-93,1.3729404417877166e-38
3.1727529387252392e-18,0.054700809901540644,2.4653337703730175e-15,0.938,0.0,0.0,0.03462575312173439,0.00999999999998753,0.049999999999915244,5.707837961086397e-94,1.8890549949150676e-88,0.001999999999995761,2.142065425785685e-133,1.0429585257359868e-113,8.311307607602131e-14,4.748541676711595e-66,2.494501638669149e-14,4.9382168653593565e-40,1.6447066665430666e-15,3.419270286638636e-15,8.206248695635895e-16,2.6863199852178583e-27,7.792520037025752e-126,5.0828199943953426e-92,3.9852234165339513e-38
4.230337253968354e-18,0.054700809901540644,3.2871121060803753e-15,0.938,0.0,0.0,0.034625753121695586,0.009999999999983371,0.04999999999988699,9.54493281427926e-94,6.945173575173016e-88,0.0019999999999943474,1.4971274263329388e-132,5.335949372245433e-113,1.1081743373074308e-13,1.5239333521547527e-65,3.326002227767622e-14,1.0332401509418108e-39,2.1929418128260675e-15,4.559027050178182e-15,1.0941664933528709e-15,4.56872669894932e-27,4.84666114623996e-125,2.2869663204202468e-91,8.715235697317857e-38
5.2879215692114685e-18,0.054700809901540644,4.108890661712227e-15,0.938,0.0,0.0,0.034625753121656784,0.009999999999979213,0.049999999999858734,1.6520491911358058e-93,2.0453910900324984e-87,0.001999999999992934,8.076702935581476e-132,2.0921191019182146e-112,1.3852179079688264e-13,3.9819882408792165e-65,4.1575028388565446e-14,1.8809742120150183e-39,2.7411767391813157e-15,5.698783813080389e-15,1.3677081171408411e-15,6.979982051393223e-27,2.4714133966994257e-124,8.146231919722519e-91,1.6350971244776406e-37
7.403090199697697e-18,0.054700809901540644,5.7524484465632755e-15,0.938,0.0,0.0,0.03462575312157918,0.009999999999970898,0.04999999999980223,2.012471258784412e-93,1.7164417913063773e-86,0.0019999999999901073,4.933641427876853e-130,4.9141871536881364e-111,1.9393050312644375e-13,2.2275281220974787e-64,5.820504128386998e-14,4.9663266419592687e-39,3.837645918294482e-15,7.978297336932756e-15,1.914791364712767e-15,1.3422257878390025e-26,8.150255721921865e-123,1.1686664929227963e-89,4.473925684260813e-37
1.1633427460670154e-17,0.054700809901540644,9.039566694132853e-15,0.938,0.0,0.0,0.03462575312142397,0.009999999999954268,0.04999999999968922,2.7126228026892375e-93,3.2980232719046506e-85,0.0019999999999844543,7.79285283383398e-128,2.9911554104476836e-109,3.047479206187974e-13,2.3663502545589703e-63,9.146506975210293e-14,1.9203997907837798e-38,6.030581598613652e-15,1.2537324376877048e-14,3.008957859840655e-15,3.2746243342007155e-26,6.528209908102335e-121,3.6911030599154695e-88,1.776813660036979e-36
1.5863764721642612e-17,0.054700809901540644,1.2326688515258264e-14,0.938,0.0,0.0,0.03462575312126876,0.009999999999937637,0.0499999999995762,1.1559870878435303e-91,1.7342725905455798e-84,0.0019999999999788013,8.093520352548363e-127,2.270008486820336e-108,4.1556532854724414e-13,9.987313178278326e-63,1.2472510179356664e-13,4.765953483118435e-38,8.223513705324024e-15,1.7096351406465193e-14,4.1031243549472405e-15,6.066352265728648e-26,5.9574418455951394e-120,2.3591760248564595e-87,4.448502974731585e-36
