Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NN_ads(36)
2.8155324500233223e-24,0.048764219312884285,6.875791774375702e-22,2.49488132750015e-38,2.733340092994933e-21,3.2407626015553966e-188,6.876471089203824e-22,0.938,1.6468366656030687e-104,2.0900747364956787e-19,3.9894553822396975e-56,6.793148281216876e-26,2.864913239323201e-20,0.0,0.0,0.028857280194768284,0.01,0.05,3.7606179518786887e-106,1.1359772086180558e-150,0.002,5.324375861543018e-202,2.169673830488438e-124
5.63351106203624e-24,0.048764219312884285,1.3757557303551036e-21,9.986027158384294e-38,5.4690549384598825e-21,1.663683283938556e-185,1.375891652340261e-21,0.938,5.276383478304579e-103,4.18196535026025e-19,3.1939900654559255e-55,1.3592198515762347e-25,5.732315543146233e-20,0.0,0.0,0.028857280194768284,0.01,0.05,6.019789406684691e-105,7.2793746192931085e-149,0.002,5.46667507764427e-199,6.946295771142253e-123
1.1269468286062073e-23,0.048764219312884285,2.75210883619017e-21,3.9957116036268136e-37,1.0940484629389762e-20,8.52937450880182e-183,2.7523807391800194e-21,0.938,1.689484462718443e-101,8.365746577789393e-19,2.5561627711499188e-54,2.7190298984853293e-25,1.146712015079225e-19,0.0,0.0,0.028857280194768284,0.01,0.05,9.633903597608411e-104,4.661720530224377e-147,0.002,5.605319232246563e-196,2.223348968924744e-121
2.2541382734113744e-23,0.048764219312884285,5.504815047860303e-21,1.598544826564981e-36,2.1883344011249447e-20,4.369939134756483e-180,5.5053589128595365e-21,0.938,5.408017693106497e-100,1.673330903284768e-18,2.045318587417266e-53,5.438649992303518e-25,2.2936729366084095e-19,0.0,0.0,0.028857280194768284,0.01,0.05,1.5416038193700779e-102,2.984436142148917e-145,0.002,5.743661448245214e-193,7.115571616011243e-120
4.5085211630217084e-23,0.048764219312884285,1.101022747120057e-20,6.394699713548069e-36,4.376906277496853e-20,2.238151395674772e-177,1.1011315260218577e-20,0.938,1.7308324968237917e-98,3.3468433942964252e-18,1.6364102347293325e-52,1.087789017993989e-24,4.587594779666704e-19,0.0,0.0,0.02885728019476828,0.01,0.05,2.4667095059942788e-101,1.9103383887099509e-143,0.0019999999999999996,5.883463207455703e-190,2.277119703595871e-118
9.017286942242375e-23,0.048764219312884285,2.2021052317881098e-20,2.55798397058282e-35,8.754050030240552e-20,1.146123650039915e-174,2.2023227954936672e-20,0.938,5.539090965122692e-97,6.693868376319737e-18,1.3091903370209843e-51,2.175637055521262e-24,9.17543846578299e-19,0.0,0.0,0.028857280194768277,0.009999999999999998,0.05,3.9468499255925636e-100,1.2227123403442108e-141,0.001999999999999999,6.025666926470475e-187,7.287001909862391e-117
1.8034818500683711e-22,0.048764219312884285,4.404270201124215e-20,1.0232144056364424e-34,1.7508337535727485e-19,5.868639886725902e-172,4.404705334437293e-20,0.938,1.772577428024369e-95,1.3387918340366357e-17,1.0473771299756561e-50,4.351333130575803e-24,1.8351125838014355e-18,0.0,0.0,0.02885728019476827,0.009999999999999995,0.05,6.315051653749476e-99,7.825665461778734e-140,0.0019999999999999983,6.170795295531205e-184,2.331875628492853e-115
3.606988161756638e-22,0.048764219312884285,8.808600139796422e-20,4.092899257722992e-34,3.501691254669948e-19,3.004868249048569e-169,8.809470412324572e-20,0.938,5.672357082885602e-94,2.6776018268459578e-17,8.379116482568437e-50,8.702725280684862e-24,3.670250058247225e-18,0.0,0.0,0.028857280194768256,0.009999999999999988,0.05,1.0104156064240243e-97,5.008523972611051e-138,0.0019999999999999966,6.319156726360376e-181,7.462058038916072e-114
7.214000785133171e-22,0.048764219312884285,1.7617260017140817e-19,1.637168030161698e-33,7.003406256863602e-19,1.5385244488820558e-166,1.7619000568099235e-19,0.938,1.8151717568375248e-92,5.355221812464593e-17,6.7033329634255536e-49,1.74055095809029e-23,7.340525007136873e-18,0.0,0.0,0.028857280194768225,0.009999999999999974,0.05,1.616670843737721e-96,3.2054867275068654e-136,0.0019999999999999927,6.470950811353507e-178,2.3878675368913264e-112
1.442802603188624e-21,0.048764219312884285,3.523457977182953e-19,6.548688774828832e-33,1.4006836261247919e-18,7.877326857081938e-164,3.5238060879648975e-19,0.938,5.808577606543385e-91,1.0710461783701823e-16,5.362682281741847e-48,3.481107818133861e-23,1.4681074904908435e-17,0.0,0.0,0.028857280194768162,0.009999999999999948,0.05,2.586678048747764e-95,2.0515215488754413e-134,0.0019999999999999853,6.626322405383896e-175,7.641190461153028e-111
2.885607652539238e-21,0.048764219312884285,7.046921928120669e-19,2.6194788407716284e-32,2.8013696270004607e-18,4.033212260713677e-161,7.047618150275013e-19,0.938,1.858749311652844e-89,2.1420941726176138e-16,4.290152189804621e-47,6.962221538220862e-23,2.936217470042063e-17,0.0,0.0,0.028857280194768038,0.009999999999999894,0.05,4.138688637010303e-94,1.312977005136536e-132,0.00199999999999997,6.785389355878307e-172,2.4451832424649007e-109
5.771217751240465e-21,0.048764219312884285,1.4093849829995984e-18,1.0477922024770268e-31,5.602741628747018e-18,2.0650100304083128e-158,1.409524227489592e-18,0.938,5.948004961393557e-88,4.2841901611124163e-16,3.4321242976102156e-46,1.39244489783943e-22,5.872437429132132e-17,0.0,0.0,0.02885728019476779,0.009999999999999787,0.05,6.621904826427439e-93,8.403063117228864e-131,0.00199999999999994,6.948256729327297e-169,7.824590047719932e-108
